Weapon,Type,Archetype/Exotic,Concatenated,Energy,Ammo,PvE Approximate DPS,"Total X",RoF / Draw Time / Charge (ms),Crit,Body,"Crit X","Optimal TtK (s)",Shots / Bolts to Kill,"Crit Percent",Crits,Bod Bursts,"Body Shot TtK / Follow up shot TtK","Body Shots to Kill",Bursts / Time Between Shots,Sim TTK 33/33/34%,Sim TTK 60/30/10%,Av. Zoom Stat,Zoom Scaler,Zoom Multiplier,Modified Zoom Multiplier,Base Range Value (Hip),Value Per Range Stat,Effective Hip Fire Range (m),Effective ADS Range (m),Impact / Blast Radius,Range / Accuracy / Velocity,Stability / Shield Duration (Glaive),Handling,"Reload Speed / Charge Rate","Aim Assist","Recoil Direction / Defense / Charge (Glaives)","Mag Size",Airborne Efficacy,Base Zoom / Swing Speed,Archetype Description,BIS Score,Concatenated - Type+Score,Concatenated - Type+Archetype+Score,Weapon Ref,Total BIS Score Modifier,Overall Archetype Adjustment Score,Overall Perk Selection Score,PVP Archetype Adjustment Score,PVP Perk Selection Score,PVE Archetype Adjustment Score,PVE Perk Selection Score,Craftable?,Sunset?,Exotic?,
Roar of the Bear,Rocket Launcher,High-Impact,Rocket Launcher High-Impact,Solar,Heavy,14368,-,15,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,90,37,57,65,34,71,45,1,7,20,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",7.9825,Rocket Launcher 7.98247898106441,Rocket Launcher High-Impact 7.98247898106441,Roar of the Bear,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Rocket Launcher Solar Heavy
Sleepless,Rocket Launcher,High-Impact,Rocket Launcher High-Impact,Arc,Heavy,14368,-,15,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,90,40,58,66,33,72,58,1,3,20,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",7.4348,Rocket Launcher 7.43478856064989,Rocket Launcher High-Impact 7.43478856064989,Sleepless,1,1.00,1.00,1.00,1.00,1.00,1.00,FALSE,FALSE,FALSE,Rocket Launcher Arc Heavy
Tomorrow's Answer,Rocket Launcher,High-Impact,Rocket Launcher High-Impact,Void,Heavy,14368,-,15,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,90,45,60,67,35,73,55,1,7,20,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",8.4196,Rocket Launcher 8.41955464077232,Rocket Launcher High-Impact 8.41955464077232,Tomorrow's Answer,1,1.00,0.95,1.00,1.00,1.00,0.90,FALSE,FALSE,FALSE,Rocket Launcher Void Heavy
Outlast,Pulse Rifle,Rapid-Fire,Pulse Rifle Rapid-Fire,Solar,Primary,2771,1.00,540,24,14,1.70,0.80,9,78%,7,2,3.00,1.40,14,4.67,1.05,1.05,17.00,0.00,1.675,2,16.000,0.080,19.44,32.56,23,43,53,36,38,78,60,33,0,17,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",-,Pulse Rifle -,Pulse Rifle Rapid-Fire -,Outlast,,,,,,,,FALSE,TRUE,FALSE,
Ascendancy,Rocket Launcher,Precision,Rocket Launcher Precision,Solar,Heavy,13091,-,15,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,30,51,42,41,27,61,70,1,3,20,"""This weapon fires a small auto-tracking missile. Missiles lock onto targets when aimed."" ",8.0763,Rocket Launcher 8.07630826012604,Rocket Launcher Precision 8.07630826012604,Ascendancy,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Rocket Launcher Solar Heavy
Oxygen SR3,Scout Rifle,Precision,Scout Rifle Precision,Solar,Primary,3015,1.00,180,61,38,1.60,1.00,4,50%,2,2,-,1.67,6,-,0.95,1.00,20.00,0.00,1.975,1.975,29.200,0.169,39.17,77.36,62,59,60,47,50,67,60,16,0,20,"""This weapon's recoil pattern is more predictably vertical."" ",-,Scout Rifle -,Scout Rifle Precision -,Oxygen SR3,,,,,,,,FALSE,TRUE,FALSE,
Palmyra-B,Rocket Launcher,Precision,Rocket Launcher Precision,Stasis,Heavy,13091,-,15,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,30,49,45,43,22,62,65,1,5,20,"""This weapon fires a small auto-tracking missile. Missiles lock onto targets when aimed."" ",9.3486,Rocket Launcher 9.34862710920027,Rocket Launcher Precision 9.34862710920027,Palmyra-B,1.1025,1.05,1.05,1.05,1.05,1.05,1.05,TRUE,FALSE,FALSE,Rocket Launcher Stasis Heavy
Royal Entry,Rocket Launcher,Precision,Rocket Launcher Precision,Void,Heavy,13091,-,15,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,30,41,49,42,29,65,75,1,3,20,"""This weapon fires a small auto-tracking missile. Missiles lock onto targets when aimed."" ",8.2230,Rocket Launcher 8.223011190743,Rocket Launcher Precision 8.223011190743,Royal Entry,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Rocket Launcher Void Heavy
Parcel of Stardust,Shotgun,Lightweight,Shotgun Lightweight,Kinetic,Special,11715,1.00,78,-,19,-,-,11,0%,-,11,-,0.77,2,-,1.10,1.05,12.00,0.00,-,-,-,-,-,-,70,51,45,71,60,52,53,7,0,12,"""Superb handling. Move faster with this weapon equipped."" ",-,Shotgun -,Shotgun Lightweight -,Parcel of Stardust,,,,,,,,FALSE,TRUE,FALSE,
Subzero Salvo,Rocket Launcher,Precision,Rocket Launcher Precision,Arc,Heavy,13091,-,15,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,30,48,39,41,23,61,79,1,3,20,"""This weapon fires a small auto-tracking missile. Missiles lock onto targets when aimed."" ",7.9379,Rocket Launcher 7.93785500784578,Rocket Launcher Precision 7.93785500784578,Subzero Salvo,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Rocket Launcher Arc Heavy
Patron of Lost Causes,Scout Rifle,Lightweight,Scout Rifle Lightweight,Kinetic,Primary,3318,1.00,200,54,31,1.75,0.90,4,100%,4,0,-,1.80,7,-,1.00,1.05,21.00,-0.10,1.975,1.875,29.200,0.169,35.96,67.43,60,40,39,67,58,67,59,15,0,20,"""Superb handling. Move faster with this weapon equipped."" ",-,Scout Rifle -,Scout Rifle Lightweight -,Patron of Lost Causes,,,,,,,,FALSE,TRUE,FALSE,
The Wardcliff Coil,Rocket Launcher,The Wardcliff Coil,Rocket Launcher The Wardcliff Coil,Arc,Heavy,14440,-,60,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,25,95,55,80,30,80,60,1,1,15,See Exotic box below for more information,-,Rocket Launcher -,Rocket Launcher The Wardcliff Coil -,The Wardcliff Coil,,,,,,,,FALSE,FALSE,TRUE,Rocket Launcher Arc Heavy
Perfect Paradox,Shotgun,Rapid-Fire,Shotgun Rapid-Fire,Kinetic,Special,10927,1.00,139,-,17,-,-,12,0%,-,12,-,0.43,2,-,0.90,1.00,12.00,0.00,-,-,-,-,-,-,65,39,42,49,68,70,61,7,0,12,"""Fires full auto with deeper ammo reserves. Faster reload when weapon is empty. "" ",-,Shotgun -,Shotgun Rapid-Fire -,Perfect Paradox,,,,,,,,FALSE,TRUE,FALSE,
Truth,Rocket Launcher,Truth,Rocket Launcher Truth,Void,Heavy,17322,-,15,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,100,47,67,65,49,73,60,1,9,20,See Exotic box below for more information,-,Rocket Launcher -,Rocket Launcher Truth -,Truth,,,,,,,,FALSE,FALSE,TRUE,Rocket Launcher Void Heavy
Persuader,Sniper Rifle,Rapid-Fire,Sniper Rifle Rapid-Fire,Void,Special,10040,1.00,139,293,90,3.25,-,1,100%,1,0,-,0.87,3,-,0.90,0.95,-,-,-,-,-,-,-,-,55,39,42,67,61,71,60,5,0,35,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",-,Sniper Rifle -,Sniper Rifle Rapid-Fire -,Persuader,,,,,,,,FALSE,TRUE,FALSE,
Two-Tailed Fox,Rocket Launcher,Two-Tailed Fox,Rocket Launcher Two-Tailed Fox,V/S,Heavy,15805,-,40,-,-,-,-,1,0%,0,1,-,-,1,-,-,-,-,-,-,-,-,-,0,0,40,50,70,52,39,67,61,2,12,20,See Exotic box below for more information,-,Rocket Launcher -,Rocket Launcher Two-Tailed Fox -,Two-Tailed Fox,,,,,,,,FALSE,FALSE,TRUE,Rocket Launcher V/S Heavy
Pillager,Submachine Gun,Lightweight,Submachine Gun Lightweight,Kinetic,Primary,4663,1.00,900,17,10,1.65,0.73,12,92%,11,1,-,1.20,19,-,1.05,1.00,14.00,0.00,1.275,1.275,6.300,0.126,10.33,13.17,15,32,42,70,30,57,97,37,0,14,"""Superb handling. Move faster with this weapon equipped."" ",-,Submachine Gun -,Submachine Gun Lightweight -,Pillager,,,,,,,,FALSE,TRUE,FALSE,
Dead Man's Tale,Scout Rifle,Dead Man's Tale,Scout Rifle Dead Man's Tale,Kinetic,Primary,4476,1.00,120,81,48,1.69,1.00,3,67%,2,1,-,2.00,5,-,1.56,0.99,18.00,0.00,1.975,1.975,29.200,0.169,39.34,77.70,67,60,30,50,50,60,89,14,17,18,See Exotic box below for more information,-,Scout Rifle -,Scout Rifle Dead Man's Tale -,Dead Man's Tale,,,,,,,,FALSE,FALSE,TRUE,Scout Rifle Kinetic Primary
Perses-D,Scout Rifle,High-Impact,Scout Rifle High-Impact,Stasis,Primary,3046,1.00,150,74,42,1.75,0.80,3,100%,3,0,-,1.60,5,-,1.49,0.93,21.00,0.10,1.975,2.075,29.200,0.169,40.69,84.44,67,68,22,31,33,36,74,14,12,22,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",8.8936,Scout Rifle 8.89360252207169,Scout Rifle High-Impact 8.89360252207169,Perses-D,0.95,0.95,1.00,0.95,1.00,0.95,1.00,FALSE,FALSE,FALSE,Scout Rifle Stasis Primary
Play of the Game,Grenade Launcher,Adaptive,Grenade Launcher Adaptive,Void,Heavy,16543,-,120,-,-,-,-,1,0%,0,1,0.50,-,1,-,1.10,1.00,-,-,-,-,-,-,-,-,30,45,42,40,51,65,70,6,0,13,"""A well-rounded grip, reliable and sturdy."" ",-,Grenade Launcher -,Grenade Launcher Adaptive -,Play of the Game,,,,,,,,FALSE,TRUE,FALSE,
Pointed Inquiry,Scout Rifle,High-Impact,Scout Rifle High-Impact,Void,Primary,3046,1.00,150,74,42,1.75,0.80,3,100%,3,0,-,1.60,5,-,1.49,0.93,21.00,0.00,1.975,1.975,29.200,0.169,40.69,80.37,67,68,22,25,32,52,74,13,14,21,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",9.3608,Scout Rifle 9.36076390969844,Scout Rifle High-Impact 9.36076390969844,Pointed Inquiry,0.95,0.95,1.03,0.95,1.00,0.95,1.05,TRUE,FALSE,FALSE,Scout Rifle Void Primary
Talons of the Eagle,Scout Rifle,High-Impact,Scout Rifle High-Impact,Kinetic,Primary,3046,1.00,150,74,42,1.75,0.80,3,100%,3,0,-,1.60,5,-,1.49,0.93,21.00,0.00,1.975,1.975,29.200,0.169,40.69,80.37,67,68,29,26,32,30,71,14,10,21,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",8.5017,Scout Rifle 8.50165407685839,Scout Rifle High-Impact 8.50165407685839,Talons of the Eagle,0.95,0.95,1.00,0.95,1.00,0.95,1.00,FALSE,FALSE,FALSE,Scout Rifle Kinetic Primary
Pluperfect,Auto Rifle,High-Impact,Auto Rifle High-Impact,Kinetic,Primary,3361,1.00,360,35,22,1.62,0.83,6,83%,5,1,-,1.33,9,-,0.80,0.80,17.00,-0.10,1.575,1.475,10.800,0.107,18.83,27.77,33,75,24,41,41,54,89,31,0,16,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Auto Rifle -,Auto Rifle High-Impact -,Pluperfect,,,,,,,,FALSE,TRUE,FALSE,
The Guiding Sight,Scout Rifle,High-Impact,Scout Rifle High-Impact,Kinetic,Primary,3046,1.00,150,74,42,1.75,0.80,3,100%,3,0,-,1.60,5,-,1.49,0.93,21.00,0.00,1.975,1.975,29.200,0.169,40.19,79.37,67,65,24,27,36,30,75,13,10,21,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",8.3896,Scout Rifle 8.38955453148066,Scout Rifle High-Impact 8.38955453148066,The Guiding Sight,0.95,0.95,1.00,0.95,1.00,0.95,1.00,FALSE,FALSE,FALSE,Scout Rifle Kinetic Primary
The Scholar,Scout Rifle,High-Impact,Scout Rifle High-Impact,Kinetic,Primary,3046,1.00,150,74,42,1.75,0.80,3,100%,3,0,-,1.60,5,-,1.49,0.93,21.00,0.00,1.975,1.975,29.200,0.169,40.35,79.70,67,66,21,30,31,32,80,13,21,21,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",9.8882,Scout Rifle 9.88816536407489,Scout Rifle High-Impact 9.88816536407489,The Scholar,0.95,0.95,0.95,0.95,1.00,0.95,0.90,FALSE,FALSE,FALSE,Scout Rifle Kinetic Primary
Transfiguration,Scout Rifle,High-Impact,Scout Rifle High-Impact,Kinetic,Primary,3046,1.00,150,74,42,1.75,0.80,3,100%,3,0,-,1.60,5,-,1.49,0.93,21.00,0.00,1.975,1.975,29.200,0.169,41.71,82.37,67,74,22,29,25,29,78,14,10,21,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",8.3490,Scout Rifle 8.34898390640536,Scout Rifle High-Impact 8.34898390640536,Transfiguration,0.95,0.95,1.00,0.95,1.00,0.95,1.00,FALSE,FALSE,FALSE,Scout Rifle Kinetic Primary
Eternal Blazon,Scout Rifle,Lightweight,Scout Rifle Lightweight,Arc,Primary,3318,1.00,200,54,31,1.75,0.90,4,100%,4,0,-,1.80,7,-,1.69,1.05,21.00,-0.10,1.975,1.875,29.200,0.169,34.78,65.21,60,33,34,62,57,67,52,16,10,20,"""Superb handling. Move faster with this weapon equipped."" ",7.6610,Scout Rifle 7.66098710039505,Scout Rifle Lightweight 7.66098710039505,Eternal Blazon,0.9,1.05,0.95,1.00,0.90,1.05,1.00,FALSE,FALSE,FALSE,Scout Rifle Arc Primary
Night Watch,Scout Rifle,Lightweight,Scout Rifle Lightweight,Kinetic,Primary,3318,1.00,200,54,31,1.75,0.90,4,100%,4,0,-,1.80,7,-,1.69,1.05,21.00,-0.10,1.975,1.875,29.200,0.169,35.45,66.47,60,37,35,65,58,69,57,16,10,20,"""Superb handling. Move faster with this weapon equipped."" ",7.9376,Scout Rifle 7.93756469209351,Scout Rifle Lightweight 7.93756469209351,Night Watch,0.9,1.05,0.95,1.00,0.90,1.05,1.00,FALSE,FALSE,FALSE,Scout Rifle Kinetic Primary
Pleiades Corrector,Scout Rifle,Lightweight,Scout Rifle Lightweight,Solar,Primary,3318,1.00,200,54,31,1.75,0.90,4,100%,4,0,-,1.80,7,-,1.69,1.05,21.00,0.40,1.975,2.375,29.200,0.169,33.93,80.59,60,28,43,71,63,76,52,16,10,25,"""Superb handling. Move faster with this weapon equipped."" ",8.1320,Scout Rifle 8.13196466848096,Scout Rifle Lightweight 8.13196466848096,Pleiades Corrector,0.9,1.05,0.95,1.00,0.90,1.05,1.00,FALSE,FALSE,FALSE,Scout Rifle Solar Primary
Pribina-D,Hand Cannon,Aggressive,Hand Cannon Aggressive,Kinetic,Primary,2965,1.00,120,80,50,1.60,1.00,3,67%,2,1,-,1.50,4,-,0.95,0.95,14.00,0.00,1.375,1.375,16.000,0.115,22.90,31.49,92,60,20,25,35,63,80,7,0,14,"""High damage, high recoil. Optimized for long-distance shooting."" ",-,Hand Cannon -,Hand Cannon Aggressive -,Pribina-D,,,,,,,,FALSE,TRUE,FALSE,
Proelium FR3,Fusion Rifle,Rapid-Fire,Fusion Rifle Rapid-Fire,Solar,Special,9836,1.00,500,27,27,1.00,0.77,8,0%,0,8,-,0.77,8,-,1.00,1.05,15.00,0.00,1.300,1.3,8.200,0.036,9.06,11.78,55,24,28,52,45,33,45,7,4,15,"""Deeper ammo reserves. Slightly faster reload when magazine is empty."" ",-,Fusion Rifle -,Fusion Rifle Rapid-Fire -,Proelium FR3,,,,,,,,FALSE,TRUE,FALSE,
Tarnished Mettle,Scout Rifle,Lightweight,Scout Rifle Lightweight,Arc,Primary,3318,1.00,200,54,31,1.75,0.90,4,100%,4,0,-,1.80,7,-,1.69,1.05,21.00,-0.10,1.975,1.875,29.200,0.169,34.27,64.26,60,30,33,66,53,73,52,16,18,20,"""Superb handling. Move faster with this weapon equipped."" ",9.7761,Scout Rifle 9.7760906514061,Scout Rifle Lightweight 9.7760906514061,Tarnished Mettle,1.05,1.05,1.05,1.00,1.05,1.05,1.05,TRUE,FALSE,FALSE,Scout Rifle Arc Primary
Vouchsafe,Scout Rifle,Lightweight,Scout Rifle Lightweight,Void,Primary,3318,1.00,200,54,31,1.75,0.90,4,100%,4,0,-,1.80,7,-,1.69,1.05,21.00,-0.10,1.975,1.875,29.200,0.169,34.78,65.21,60,33,32,63,55,73,47,15,10,20,"""Superb handling. Move faster with this weapon equipped."" ",8.4793,Scout Rifle 8.47925102320268,Scout Rifle Lightweight 8.47925102320268,Vouchsafe,1,1.05,1.00,1.00,1.00,1.05,1.00,FALSE,FALSE,FALSE,Scout Rifle Void Primary
MIDA Multi-Tool,Scout Rifle,MIDA Multi-Tool,Scout Rifle MIDA Multi-Tool,Kinetic,Primary,3318,1.00,200,54,31,1.75,0.90,4,100%,4,0,-,1.80,7,-,1.69,1.05,20.00,0.00,1.975,1.975,29.200,0.169,36.81,72.69,60,45,45,85,80,100,80,16,25,20,See Exotic box below for more information,-,Scout Rifle -,Scout Rifle MIDA Multi-Tool -,MIDA Multi-Tool,,,,,,,,FALSE,FALSE,TRUE,Scout Rifle Kinetic Primary
Polaris Lance,Scout Rifle,Polaris Lance,Scout Rifle Polaris Lance,Solar,Primary,3785,1.00,150,74,42,1.75,0.80,3,100%,3,0,-,1.60,5,-,1.49,0.93,21.00,0.00,1.975,1.975,29.200,0.169,42.21,83.37,67,77,72,24,43,39,77,15,27,21,See Exotic box below for more information,-,Scout Rifle -,Scout Rifle Polaris Lance -,Polaris Lance,,,,,,,,FALSE,FALSE,TRUE,Scout Rifle Solar Primary
Pyroclastic Flow,Rocket Launcher,Precision,Rocket Launcher Precision,Solar,Heavy,13091,-,15,-,-,-,-,1,0%,0,1,-,-,1,-,1.05,1.05,-,-,-,-,-,-,-,-,65,61,50,47,32,59,63,1,0,20,"""This weapon fires a small auto-tracking missile. Missiles lock onto targets when aimed."" ",-,Rocket Launcher -,Rocket Launcher Precision -,Pyroclastic Flow,,,,,,,,FALSE,TRUE,FALSE,
Python,Shotgun,Aggressive,Shotgun Aggressive,Void,Special,9736,1.00,55,-,22,-,-,9,0%,-,9,-,1.10,2,-,1.00,1.00,12.00,0.00,-,-,-,-,-,-,80,33,32,34,42,37,60,4,0,12,"""Hard-hitting, high recoil. Increases rate of fire after kill."" ",-,Shotgun -,Shotgun Aggressive -,Python,,,,,,,,FALSE,TRUE,FALSE,
Doom of Chelchis,Scout Rifle,Precision,Scout Rifle Precision,Void,Primary,3015,1.00,180,61,38,1.60,1.00,4,50%,2,2,-,1.67,6,-,1.53,0.98,20.00,0.00,1.975,1.975,29.200,0.169,37.48,74.02,62,49,40,39,44,64,76,16,17,20,"""This weapon's recoil pattern is more predictably vertical."" ",9.8168,Scout Rifle 9.81681542662595,Scout Rifle Precision 9.81681542662595,Doom of Chelchis,0.9975,1.00,1.05,0.95,1.05,1.00,1.05,TRUE,FALSE,FALSE,Scout Rifle Void Primary
Hung Jury SR4,Scout Rifle,Precision,Scout Rifle Precision,Kinetic,Primary,3015,1.00,180,61,38,1.60,1.00,4,50%,2,2,-,1.67,6,-,1.53,0.98,20.00,0.20,1.975,2.175,29.200,0.169,37.48,81.52,62,49,55,50,46,67,75,16,22,22,"""This weapon's recoil pattern is more predictably vertical."" ",10.6417,Scout Rifle 10.641729067759,Scout Rifle Precision 10.641729067759,Hung Jury SR4,0.95,1.00,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Scout Rifle Kinetic Primary
Royal Chase,Scout Rifle,Precision,Scout Rifle Precision,Void,Primary,3015,1.00,180,61,38,1.60,1.00,4,50%,2,2,-,1.67,6,-,1.53,0.98,20.00,0.00,1.975,1.975,29.200,0.169,35.62,70.35,62,38,38,41,40,63,63,16,10,20,"""This weapon's recoil pattern is more predictably vertical."" ",7.2056,Scout Rifle 7.20559410459262,Scout Rifle Precision 7.20559410459262,Royal Chase,0.855,1.00,0.90,0.95,0.90,1.00,0.90,FALSE,FALSE,FALSE,Scout Rifle Void Primary
Staccato-46,Scout Rifle,Precision,Scout Rifle Precision,Solar,Primary,3015,1.00,180,61,38,1.60,1.00,4,50%,2,2,-,1.67,6,-,1.53,0.98,20.00,0.00,1.975,1.975,29.200,0.169,35.79,70.69,62,39,44,38,40,61,58,16,9,20,"""This weapon's recoil pattern is more predictably vertical."" ",7.0981,Scout Rifle 7.09814574396961,Scout Rifle Precision 7.09814574396961,Staccato-46,0.855,1.00,0.95,0.95,0.90,1.00,1.00,FALSE,FALSE,FALSE,Scout Rifle Solar Primary
Randy's Throwing Knife,Scout Rifle,Rapid-Fire,Scout Rifle Rapid-Fire,Kinetic,Primary,3352,1.00,257,46,28,1.67,0.93,5,60%,3,2,-,1.40,7,-,1.05,1.05,21.00,-0.10,1.975,1.875,29.200,0.169,34.44,64.57,45,31,50,42,17,63,59,20,0,20,"""Fires full auto with deeper ammo reserves. Faster reload when weapon is empty."" ",-,Scout Rifle -,Scout Rifle Rapid-Fire -,Randy's Throwing Knife,,,,,,,,FALSE,TRUE,FALSE,
Tears of Contrition,Scout Rifle,Precision,Scout Rifle Precision,Kinetic,Primary,3015,1.00,180,61,38,1.60,1.00,4,50%,2,2,-,1.67,6,-,1.53,0.98,20.00,-0.10,1.975,1.875,29.200,0.169,37.14,69.64,62,47,49,46,39,66,70,16,13,19,"""This weapon's recoil pattern is more predictably vertical."" ",9.0087,Scout Rifle 9.00867940568605,Scout Rifle Precision 9.00867940568605,Tears of Contrition,0.95,1.00,1.03,0.95,1.00,1.00,1.05,TRUE,FALSE,FALSE,Scout Rifle Kinetic Primary
Vision of Confluence,Scout Rifle,Precision,Scout Rifle Precision,Solar,Primary,3015,1.00,180,61,38,1.60,1.00,4,50%,2,2,-,1.67,6,-,1.53,0.98,20.00,0.00,1.975,1.975,29.200,0.169,36.97,73.02,62,46,42,45,47,65,75,16,10,20,"""This weapon's recoil pattern is more predictably vertical."" ",8.5881,Scout Rifle 8.58809230824065,Scout Rifle Precision 8.58809230824065,Vision of Confluence,0.95,1.00,1.00,0.95,1.00,1.00,1.00,FALSE,FALSE,FALSE,Scout Rifle Solar Primary
Aisha's Embrace,Scout Rifle,Rapid-Fire,Scout Rifle Rapid-Fire,Void,Primary,3352,1.00,257,46,28,1.67,0.93,5,60%,3,2,-,1.40,7,-,1.50,0.97,21.00,0.00,1.975,1.975,29.200,0.169,34.95,69.02,45,34,46,26,35,71,55,18,24,21,"""Fires full auto with deeper ammo reserves. Faster reload when weapon is empty."" ",11.1751,Scout Rifle 11.1750555130595,Scout Rifle Rapid-Fire 11.1750555130595,Aisha's Embrace,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Scout Rifle Void Primary
Contingency Plan,Scout Rifle,Rapid-Fire,Scout Rifle Rapid-Fire,Arc,Primary,3352,1.00,257,46,28,1.67,0.93,5,60%,3,2,-,1.40,7,-,1.50,0.97,21.00,-0.10,1.975,1.875,29.200,0.169,33.43,62.67,45,25,45,20,26,66,53,17,10,20,"""Fires full auto with deeper ammo reserves. Faster reload when weapon is empty."" ",8.6072,Scout Rifle 8.60723606031348,Scout Rifle Rapid-Fire 8.60723606031348,Contingency Plan,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Scout Rifle Arc Primary
Servant Leader,Scout Rifle,Rapid-Fire,Scout Rifle Rapid-Fire,Kinetic,Primary,3352,1.00,257,46,28,1.67,0.93,5,60%,3,2,-,1.40,7,-,1.50,0.97,21.00,0.50,1.975,2.475,29.200,0.169,33.26,82.31,45,24,42,18,29,67,54,17,10,26,"""Fires full auto with deeper ammo reserves. Faster reload when weapon is empty."" ",8.6676,Scout Rifle 8.66761435247861,Scout Rifle Rapid-Fire 8.66761435247861,Servant Leader,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Scout Rifle Kinetic Primary
Trustee,Scout Rifle,Rapid-Fire,Scout Rifle Rapid-Fire,Solar,Primary,3352,1.00,257,46,28,1.67,0.93,5,60%,3,2,-,1.40,7,-,1.50,0.97,21.00,-0.20,1.975,1.775,29.200,0.169,35.12,62.33,45,35,43,30,31,67,59,17,10,19,"""Fires full auto with deeper ammo reserves. Faster reload when weapon is empty."" ",9.5075,Scout Rifle 9.50752427850139,Scout Rifle Rapid-Fire 9.50752427850139,Trustee,1.05,1.05,1.00,1.05,1.00,1.05,1.00,FALSE,FALSE,FALSE,Scout Rifle Solar Primary
Skyburner's Oath,Scout Rifle,Skyburner's Oath,Scout Rifle Skyburner's Oath,Solar,Primary,3206,1.00,150,52,47,1.11,1.20,4,25%,1,3,-,1.60,5,-,1.49,0.93,21.00,-0.10,1.975,1.875,29.200,0.169,42.72,80.10,60,80,50,65,30,90,100,18,35,20,See Exotic box below for more information,-,Scout Rifle -,Scout Rifle Skyburner's Oath -,Skyburner's Oath,,,,,,,,FALSE,FALSE,TRUE,Scout Rifle Solar Primary
Redrix's Broadsword,Pulse Rifle,High-Impact,Pulse Rifle High-Impact,Kinetic,Primary,2720,1.00,340,35,22,1.60,0.67,6,83%,5,1,2.00,1.20,9,3.00,1.10,0.90,18.00,0.00,1.675,2,16.000,0.080,20.80,34.84,33,60,59,38,44,39,75,27,0,18,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Pulse Rifle -,Pulse Rifle High-Impact -,Redrix's Broadsword,,,,,,,,FALSE,TRUE,FALSE,
Redrix's Claymore,Pulse Rifle,High-Impact,Pulse Rifle High-Impact,Kinetic,Primary,2720,1.00,340,35,22,1.60,0.67,6,83%,5,1,2.00,1.20,9,3.00,1.10,0.90,18.00,0.00,1.675,2,16.000,0.080,20.80,34.84,33,60,59,38,44,39,75,27,0,18,"""Slow-firing and high-damage. This weapon is more accurate when stationary and aiming down sights."" ",-,Pulse Rifle -,Pulse Rifle High-Impact -,Redrix's Claymore,,,,,,,,FALSE,TRUE,FALSE,
Symmetry,Scout Rifle,Symmetry,Scout Rifle Symmetry,Arc,Primary,3352,1.00,257,46,28,1.67,0.93,5,60%,3,2,-,1.40,7,-,1.50,0.97,20.00,0.00,1.975,1.975,29.200,0.169,34.27,67.68,45,30,64,36,15,75,85,20,23,20,See Exotic box below for more information,-,Scout Rifle -,Scout Rifle Symmetry -,Symmetry,,,,,,,,FALSE,FALSE,TRUE,Scout Rifle Arc Primary
